h3,slope,base,pct_per_month,area,lat,lon,CIS,police_station,n_parking,trend
896189255a3ffff,-5.499999999999998,12.75,-43.1,Parangipalya,12.910918131431849,77.65245817024962,30.19,HSR Layout,65,Improving
89618925847ffff,-0.8571428571428568,2.0,-42.9,Eramma Layout,12.947453631409948,77.60371643249636,8.33,Adugodi,8,Improving
8961892cbd7ffff,-1.0000000000000004,2.3333333333333335,-42.9,RMZ Latitude Commercial,13.0575741305098,77.59533859335606,9.72,Hebbala,7,Improving
8960145b663ffff,-1.428571428571428,3.3333333333333335,-42.9,Munireddypalya,13.00842398524627,77.59090034526537,14.11,R.T. Nagar,11,Improving
89618925d07ffff,-7.0999999999999925,16.75,-42.4,East End Circle,12.917554745552911,77.59478841339987,36.3,Jayanagara,115,Improving
8960145912bffff,-3.7,8.75,-42.3,Krishna Gowda Layout,13.041769490748708,77.51625315881579,23.04,Chikkabanavara,38,Improving
89618924a1bffff,-4.100000000000001,9.75,-42.1,IG Circle,12.91226607835788,77.57965836229366,23.77,J.P. Nagar,40,Improving
8960145b437ffff,-67.0,160.5,-41.7,Maharani College Junction,12.975322351878015,77.581317598356,64.53,Upparpet,740,Improving
89618920b27ffff,-2.500000000000003,6.0,-41.7,Doddanekundi Circle,12.95460779582751,77.69235134523066,19.56,HAL Old Airport,23,Improving
896189246c7ffff,-5.600000000000001,13.5,-41.5,Birla Circle,12.894856950436097,77.65760363520269,33.09,HSR Layout,73,Improving
89618925237ffff,-7.4,18.0,-41.1,Kemp Fort Mall,12.960089253632258,77.65690790311183,34.57,Jeevanbheemanagar,88,Improving
89618925367ffff,-11.899999999999997,29.25,-40.7,Domlur,12.962298263308003,77.63767678582049,39.59,Halasur,140,Improving
8961892e3d3ffff,-92.30000000000003,226.75,-40.7,SM Layout,13.005964636190964,77.68600190431579,68.73,K.R. Pura,1188,Improving
8961892e437ffff,-1.3571428571428568,3.3333333333333335,-40.7,Durga Petals,12.974901701921937,77.69932686495953,12.47,Mahadevapura,11,Improving
8961892e94bffff,-12.699999999999998,31.25,-40.6,Sindhi Colony,12.996582155591616,77.61658367018129,40.34,Pulikeshinagar(F.Town),135,Improving
89618927223ffff,-4.300000000000001,10.75,-40.0,Saket Callipolis,12.91078204836173,77.68617903024685,32.08,Bellandur,74,Improving
8960145857bffff,-2.299999999999999,5.75,-40.0,Nagarbhavi BDA Shopping Complex,12.979826646073928,77.50921471578887,21.6,Jnanabharathi,23,Improving
8960145b4afffff,-9.6,24.0,-40.0,Cauvery Bhavan,12.973176787295207,77.5836885137371,36.62,Halasuru Gate,121,Improving
89618924ad3ffff,-1.6000000000000003,4.0,-40.0,Marenahalli Palya,12.90903047912735,77.58742508588911,14.66,J.P. Nagar,18,Improving
89618925b6bffff,-13.100000000000005,32.75,-40.0,Maldarpet,12.9667682838388,77.58237751173624,42.11,Halasuru Gate,151,Improving
89601459007ffff,-0.9000000000000004,2.25,-40.0,Brigade Courtyard,13.044903172337698,77.54216961319192,15.62,Jalahalli,15,Improving
896014592b7ffff,-3.2,8.0,-40.0,Kalathur Layout,13.057717282887584,77.54478949638738,26.66,Jalahalli,44,Improving
8960169668fffff,-5.499999999999998,13.75,-40.0,Yelahanka,13.100314154341456,77.59846633698334,29.69,Yelahanka,62,Improving
89618924e83ffff,-0.5999999999999999,1.5,-40.0,Arakere,12.888681905892136,77.59731118778471,8.63,Hulimavu,7,Improving
