n_zones,zone_frac,impact_cov,violation_cov
410,0.16179952644041043,0.9215425300153292,0.8685251888957765
411,0.1621941594317285,0.9217959914669972,0.8689339744341503
412,0.16258879242304658,0.9220483289241218,0.8692891487543769
413,0.16298342541436464,0.9223003868462433,0.8697079863961534
414,0.1633780584056827,0.9225518935271054,0.8700732128197826
415,0.1637726913970008,0.9228030442686834,0.870458543450217
416,0.16416732438831885,0.9230539358521427,0.870900835999933
417,0.16456195737963694,0.9233046978882443,0.8713029201360385
418,0.164956590370955,0.9235540799374918,0.8717284591800835
419,0.1653512233622731,0.9238025237474097,0.8721372447184573
420,0.16574585635359115,0.9240503311520942,0.8724823669352813
421,0.16614048934490924,0.9242976233509119,0.8728878017725209
422,0.1665351223362273,0.9245427211705824,0.8731458057598552
423,0.1669297553275454,0.9247862669383197,0.8734808758732765
424,0.16732438831886345,0.9250296079906214,0.8738293487912345
425,0.16771902131018154,0.9252729075165067,0.8741744710080585
426,0.1681136543014996,0.9255159213854051,0.8744626313056006
427,0.1685082872928177,0.9257587843188055,0.8747876493156193
428,0.16890292028413575,0.9259995343547575,0.8751059659233694
429,0.16929755327545382,0.9262400104643495,0.8754912965538039
430,0.1696921862667719,0.926478484847105,0.8758431201728962
431,0.17008681925808997,0.9267162864080198,0.8760977734590963
432,0.17048145224940806,0.9269534114458458,0.8765266632042755
433,0.17087608524072612,0.9271883614524593,0.8768751361222336
434,0.1712707182320442,0.9274219992619385,0.8771934527299837
435,0.17166535122336227,0.9276546781387223,0.8774849637286602
436,0.17205998421468036,0.9278871420836594,0.8777898775318735
437,0.17245461720599842,0.9281178270808285,0.8781785588634422
438,0.1728492501973165,0.9283474082902173,0.8785605387927424
439,0.17324388318863457,0.9285765824527523,0.87893246661864
440,0.17363851617995266,0.9288050905112494,0.8792206269161822
441,0.17403314917127072,0.9290333887983222,0.8795020858114561
442,0.17442778216258878,0.9292613632254277,0.8798706629362194
443,0.17482241515390687,0.92948902052771,0.8802023823485065
444,0.17521704814522493,0.9297166042953646,0.880510646852854
445,0.17561168113654302,0.9299422986796647,0.8808758732764831
446,0.17600631412786108,0.9301654447905175,0.8812008912865017
447,0.17640094711917917,0.9303823454740798,0.8815393121010572
448,0.17679558011049723,0.9305985315752443,0.8818944864212837
449,0.17719021310181532,0.930814247260948,0.8822228551324365
450,0.17758484609313338,0.9310299266525353,0.8825847308549314
451,0.17797947908445147,0.9312454181766272,0.8828829432558762
452,0.17837411207576953,0.9314608197514744,0.8832113119670291
453,0.17876874506708762,0.9316739310306722,0.8835229271725108
454,0.17916337805840568,0.931881996502768,0.8838546465847978
455,0.17955801104972377,0.9320883342902245,0.8841495082846086
456,0.17995264404104183,0.9322939790932557,0.8844477206855534
457,0.1803472770323599,0.9324993657894015,0.8848364020171221
458,0.18074191002367798,0.9327036500589617,0.8851111595101275
459,0.18113654301499604,0.9329074325106366,0.8854495803246829
460,0.18153117600631413,0.9331109522630345,0.8857042336108831
461,0.1819258089976322,0.9333132821854973,0.8860426544254385
462,0.18232044198895028,0.9335154398780772,0.886381075239994
463,0.18271507498026834,0.9337166281373283,0.8866759369398046
464,0.18310970797158643,0.9339172937049167,0.8870780210759102
465,0.1835043409629045,0.9341179408927174,0.8874432474995393
466,0.18389897395422258,0.9343182948837572,0.8877280570959474
467,0.18429360694554064,0.9345184167603943,0.888022918795758
468,0.18468823993685873,0.9347179573928467,0.8883814438171187
469,0.1850828729281768,0.9349163529972246,0.8886327464021847
470,0.18547750591949486,0.9351146322417985,0.888937660205398
471,0.18587213891081295,0.9353094472549593,0.8892258205029402
472,0.186266771902131,0.9355040030662575,0.8895307343061536
473,0.1866614048934491,0.9356970136577829,0.8897920889946221
474,0.18705603788476716,0.9358873278704671,0.8901238084069092
475,0.18745067087608525,0.9360771166711378,0.8903985658999145
476,0.1878453038674033,0.9362658332186974,0.8907336360133358
477,0.1882399368587214,0.936453241395451,0.8909547822881938
478,0.18863456985003946,0.9366404108915176,0.8912697481948098
479,0.18902920284135755,0.9368268401734235,0.8915713112968888
480,0.1894238358326756,0.9370123748913598,0.8918393673876258
481,0.1898184688239937,0.9371974939466085,0.8921844896044497
